Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
December 22, 2016 8:25 PM,at Eagles,-1.0,Giants,42.5,-110,-110
December 24, 2016 1:00 PM,at Patriots,-17.0,Jets,45.0,+1000,-2000
December 24, 2016 1:00 PM,at Bills,-4.5,Dolphins,44.0,+190,-220
December 24, 2016 1:00 PM,Falcons,-3.0,at Panthers,48.5,-165,+135
December 24, 2016 1:00 PM,Redskins,-3.0,at Bears,49.0,-163,+130
December 24, 2016 1:00 PM,Chargers,-4.5,at Browns,46.0,-210,+180
December 24, 2016 1:00 PM,at Packers,-6.5,Vikings,44.5,+230,-295
December 24, 2016 1:00 PM,Titans,-4.5,at Jaguars,44.0,-220,+180
December 24, 2016 4:05 PM,at Raiders,-3.5,Colts,51.5,+165,-185
December 24, 2016 4:25 PM,at Rams,-5.0,49ers,39.5,+200,-240
December 24, 2016 4:25 PM,at Saints,-3.0,Buccaneers,53.0,+155,-175
December 24, 2016 4:25 PM,at Seahawks,-8.0,Cardinals,43.5,+300,-400
December 24, 2016 8:25 PM,at Texans,-3.0,Bengals,41.5,+135,-155
December 25, 2016 4:30 PM,at Steelers,-6.0,Ravens,46.5,+225,-300
December 25, 2016 8:30 PM,at Chiefs,-3.5,Broncos,37.5,+160,-185
December 26, 2016 8:30 PM,at Cowboys,-6.5,Lions,46.5,+225,-265
