Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
November 3, 2016 8:25 PM,Falcons,-3.5,at Buccaneers,50.5,-180,+160
November 6, 2016 1:00 PM,Steelers,-3.0,at Ravens,46.5,-170,+150
November 6, 2016 1:00 PM,Cowboys,-7.0,at Browns,49.0,-330,+260
November 6, 2016 1:00 PM,at Chiefs,-7.0,Jaguars,43.0,+270,-330
November 6, 2016 1:00 PM,at Dolphins,-4.0,Jets,45.5,+170,-200
November 6, 2016 1:00 PM,at Vikings,-6.0,Lions,42.5,+218,-250
November 6, 2016 1:00 PM,at Giants,-3.0,Eagles,43.0,+135,-155
November 6, 2016 4:05 PM,Panthers,-3.0,at Rams,44.5,-156,+140
November 6, 2016 4:05 PM,Saints,-5.0,at 49ers,53.0,-230,+195
November 6, 2016 4:25 PM,at Chargers,-3.5,Titans,47.5,+170,-185
November 6, 2016 4:25 PM,at Packers,-7.5,Colts,52.0,+270,-345
November 6, 2016 8:30 PM,at Raiders,-1.0,Broncos,44.5,-105,-115
November 7, 2016 8:30 PM,at Seahawks,-6.0,Bills,43.5,+210,-260
