Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
September 29, 2016 8:25 PM,at Bengals,-7.5,Dolphins,46.0,+300,-380
October 2, 2016 9:30 AM,Colts,-1.5,at Jaguars,48.0,-125,+100
October 2, 2016 1:00 PM,at Patriots,-3.5,Bills,41.0,+165,-200
October 2, 2016 1:00 PM,Seahawks,-1.0,at Jets,40.0,-115,-105
October 2, 2016 1:00 PM,at Texans,-4.0,Titans,40.0,+170,-200
October 2, 2016 1:00 PM,Panthers,-3.0,at Falcons,48.5,-162,+135
October 2, 2016 1:00 PM,at Ravens,-3.5,Raiders,45.0,+160,-175
October 2, 2016 1:00 PM,Lions,-3.5,at Bears,48.0,-180,+157
October 2, 2016 1:00 PM,at Redskins,-7.5,Browns,47.5,+275,-350
October 2, 2016 4:05 PM,Broncos,-3.5,at Buccaneers,43.0,-180,+150
October 2, 2016 4:25 PM,at Cardinals,-9.5,Rams,43.5,+370,-440
October 2, 2016 4:25 PM,Cowboys,-1.5,at 49ers,44.5,-125,+105
October 2, 2016 4:25 PM,at Chargers,-3.5,Saints,54.0,+166,-185
October 2, 2016 8:30 PM,at Steelers,-3.5,Chiefs,48.5,+150,-180
October 3, 2016 8:30 PM,at Vikings,-3.5,Giants,42.5,+155,-175
