Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
October 20, 2016 8:25 PM,at Packers,-7.5,Bears,46.5,+280,-350
October 23, 2016 9:30 AM,Giants,-3.0,at Rams,44.5,-145,+125
October 23, 2016 1:00 PM,Bills,-2.5,at Dolphins,46.0,-140,+120
October 23, 2016 1:00 PM,at Jets,-2.5,Ravens,40.0,+120,-141
October 23, 2016 1:00 PM,Vikings,-3.0,at Eagles,39.0,-157,+130
October 23, 2016 1:00 PM,at Bengals,-11.0,Browns,46.5,+400,-600
October 23, 2016 1:00 PM,at Jaguars,-2.0,Raiders,48.0,+110,-130
October 23, 2016 1:00 PM,at Chiefs,-6.5,Saints,51.5,+220,-270
October 23, 2016 1:00 PM,Redskins,-1.0,at Lions,50.0,-105,-105
October 23, 2016 1:00 PM,at Titans,-4.0,Colts,48.5,+170,-200
October 23, 2016 4:05 PM,at 49ers,-1.0,Buccaneers,45.0,-105,-115
October 23, 2016 4:05 PM,at Falcons,-4.5,Chargers,53.0,+180,-222
October 23, 2016 4:25 PM,Patriots,-7.0,at Steelers,49.5,-333,+265
October 23, 2016 8:30 PM,at Cardinals,-1.5,Seahawks,43.0,+105,-125
October 24, 2016 8:30 PM,at Broncos,-8.5,Texans,40.0,+320,-400
