Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
November 17, 2016 8:25 PM,at Panthers,-3.5,Saints,52.5,+167,-188
November 20, 2016 1:00 PM,at Bengals,-2.5,Bills,48.0,+120,-140
November 20, 2016 1:00 PM,Steelers,-8.5,at Browns,44.5,-400,+300
November 20, 2016 1:00 PM,at Cowboys,-7.0,Ravens,44.5,+270,-300
November 20, 2016 1:00 PM,at Lions,-5.5,Jaguars,47.0,+200,-240
November 20, 2016 1:00 PM,at Colts,-3.0,Titans,53.5,+120,-145
November 20, 2016 1:00 PM,at Chiefs,-7.0,Buccaneers,45.0,+250,-300
November 20, 2016 1:00 PM,at Vikings,-2.0,Cardinals,40.0,+110,-130
November 20, 2016 1:00 PM,at Giants,-7.0,Bears,41.5,+240,-295
November 20, 2016 4:05 PM,Dolphins,-1.0,at Rams,38.5,-115,-105
November 20, 2016 4:25 PM,at Seahawks,-6.5,Eagles,43.0,+235,-275
November 20, 2016 4:25 PM,Patriots,-11.5,at 49ers,51.5,-588,+400
November 20, 2016 8:30 PM,at Redskins,-3.0,Packers,48.0,+130,-150
November 21, 2016 8:30 PM,at Raiders,-6.5,Texans,45.5,+250,-300
