Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
December 15, 2016 8:25 PM,at Seahawks,-15.5,Rams,39.5,+900,-1600
December 17, 2016 8:25 PM,Dolphins,-2.5,at Jets,39.5,-150,+125
December 18, 2016 1:00 PM,at Vikings,-5.5,Colts,45.0,+195,-240
December 18, 2016 1:00 PM,at Giants,-4.0,Lions,41.5,+180,-200
December 18, 2016 1:00 PM,at Ravens,-5.0,Eagles,41.0,+195,-240
December 18, 2016 1:00 PM,at Bills,-10.5,Browns,43.0,+350,-500
December 18, 2016 1:00 PM,Packers,-4.5,at Bears,40.0,-230,+190
December 18, 2016 1:00 PM,Steelers,-3.0,at Bengals,45.5,-175,+140
December 18, 2016 1:00 PM,at Texans,-3.5,Jaguars,39.5,+155,-189
December 18, 2016 1:00 PM,at Chiefs,-6.0,Titans,42.5,+220,-260
December 18, 2016 4:05 PM,at Cardinals,-3.0,Saints,48.0,+135,-160
December 18, 2016 4:05 PM,at Falcons,-14.0,49ers,51.5,+700,-1100
December 18, 2016 4:25 PM,Raiders,-2.5,at Chargers,50.0,-143,+115
December 18, 2016 4:25 PM,Patriots,-3.0,at Broncos,43.0,-165,+135
December 18, 2016 8:30 PM,at Cowboys,-6.5,Buccaneers,47.5,+240,-300
December 19, 2016 8:30 PM,at Redskins,-7.0,Panthers,50.5,+255,-320
