Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
September 8, 2016 8:30 PM,Panthers,-3.0,at Broncos,41.0,-165,+145
September 11, 2016 1:00 PM,at Texans,-6.0,Bears,42.5,+220,-260
September 11, 2016 1:00 PM,at Falcons,-3.0,Buccaneers,47.0,+115,-135
September 11, 2016 1:00 PM,at Ravens,-3.0,Bills,45.0,+130,-150
September 11, 2016 1:00 PM,Packers,-6.0,at Jaguars,48.0,-210,+175
September 11, 2016 1:00 PM,at Chiefs,-7.0,Chargers,46.0,+240,-280
September 11, 2016 1:00 PM,at Saints,-3.0,Raiders,51.0,+130,-150
September 11, 2016 1:00 PM,Bengals,-3.0,at Jets,42.0,-115,-105
September 11, 2016 1:00 PM,at Eagles,-4.0,Browns,41.5,+165,-190
September 11, 2016 1:00 PM,Vikings,-3.0,at Titans,40.5,-145,+125
September 11, 2016 4:05 PM,at Seahawks,-10.5,Dolphins,43.5,+375,-500
September 11, 2016 4:25 PM,Giants,-1.5,at Cowboys,48.0,-120,+100
September 11, 2016 4:25 PM,at Colts,-3.0,Lions,51.5,+130,-150
September 11, 2016 8:30 PM,at Cardinals,-9.0,Patriots,45.0,+300,-400
September 12, 2016 7:10 PM,Steelers,-3.0,at Redskins,50.0,-155,+135
September 12, 2016 10:20 PM,Rams,-3.0,at 49ers,42.5,-145,+125
