Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
October 13, 2016 8:25 PM,Broncos,-3.0,at Chargers,44.5,-160,+140
October 16, 2016 1:00 PM,Steelers,-7.5,at Dolphins,49.5,-351,+275
October 16, 2016 1:00 PM,at Patriots,-7.5,Bengals,48.0,+280,-350
October 16, 2016 1:00 PM,Panthers,-2.5,at Saints,53.5,-145,+125
October 16, 2016 1:00 PM,at Giants,-3.5,Ravens,42.5,+165,-200
October 16, 2016 1:00 PM,at Bills,-7.5,49ers,44.5,+280,-345
October 16, 2016 1:00 PM,at Bears,-2.5,Jaguars,46.5,+115,-135
October 16, 2016 1:00 PM,at Lions,-2.5,Rams,44.5,+125,-145
October 16, 2016 1:00 PM,at Titans,-7.5,Browns,44.5,+260,-320
October 16, 2016 1:00 PM,Eagles,-3.0,at Redskins,45.0,-155,+135
October 16, 2016 4:05 PM,Chiefs,-2.0,at Raiders,46.5,-130,+105
October 16, 2016 4:25 PM,at Seahawks,-6.5,Falcons,45.5,+250,-300
October 16, 2016 4:25 PM,at Packers,-5.5,Cowboys,47.5,+190,-240
October 16, 2016 8:30 PM,at Texans,-3.0,Colts,48.0,+145,-165
October 17, 2016 8:30 PM,at Cardinals,-7.0,Jets,45.5,+280,-335
