Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
September 15, 2016 8:25 PM,at Bills,-1.0,Jets,40.5,-105,-115
September 18, 2016 1:00 PM,at Panthers,-12.0,49ers,44.5,+450,-625
September 18, 2016 1:00 PM,Ravens,-4.5,at Browns,42.0,-222,+180
September 18, 2016 1:00 PM,at Lions,-6.0,Titans,48.0,+210,-270
September 18, 2016 1:00 PM,at Texans,-1.0,Chiefs,42.0,-105,-115
September 18, 2016 1:00 PM,at Patriots,-5.5,Dolphins,42.5,+200,-250
September 18, 2016 1:00 PM,at Giants,-3.5,Saints,54.0,+155,-185
September 18, 2016 1:00 PM,at Steelers,-3.0,Bengals,48.5,+145,-165
September 18, 2016 1:00 PM,at Redskins,-3.5,Cowboys,47.0,+160,-180
September 18, 2016 4:05 PM,at Cardinals,-7.0,Buccaneers,49.5,+265,-330
September 18, 2016 4:05 PM,Seahawks,-5.5,at Rams,38.0,-250,+200
September 18, 2016 4:25 PM,at Chargers,-3.0,Jaguars,47.5,+130,-150
September 18, 2016 4:25 PM,at Broncos,-6.5,Colts,47.0,+230,-280
September 18, 2016 4:25 PM,at Raiders,-4.0,Falcons,47.5,+170,-200
September 18, 2016 8:30 PM,Packers,-1.5,at Vikings,42.5,-126,+106
September 19, 2016 8:30 PM,at Bears,-3.0,Eagles,43.0,+140,-160
