Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
January 1, 2017 1:00 PM,Ravens,-1.5,at Bengals,40.5,-125,+105
January 1, 2017 1:00 PM,at Colts,-5.5,Jaguars,48.5,+210,-260
January 1, 2017 1:00 PM,Patriots,-8.0,at Dolphins,47.0,-400,+300
January 1, 2017 1:00 PM,at Vikings,-6.5,Bears,43.5,+210,-260
January 1, 2017 1:00 PM,Bills,-4.5,at Jets,43.0,-222,+180
January 1, 2017 1:00 PM,at Eagles,-6.5,Cowboys,44.0,+230,-270
January 1, 2017 1:00 PM,at Steelers,-3.0,Browns,41.5,+135,-155
January 1, 2017 1:00 PM,at Buccaneers,-3.0,Panthers,44.5,+135,-155
January 1, 2017 1:00 PM,at Titans,-3.0,Texans,41.0,+140,-160
January 1, 2017 4:25 PM,at Redskins,-7.5,Giants,47.5,+314,-360
January 1, 2017 4:25 PM,at Falcons,-7.5,Saints,58.5,+275,-350
January 1, 2017 4:25 PM,Seahawks,-11.5,at 49ers,43.5,-600,+450
January 1, 2017 4:25 PM,Chiefs,-5.5,at Chargers,44.5,-233,+205
January 1, 2017 4:25 PM,Cardinals,-7.0,at Rams,39.0,-320,+260
January 1, 2017 4:25 PM,at Broncos,-1.0,Raiders,40.0,-105,-115
January 1, 2017 8:30 PM,Packers,-3.5,at Lions,50.5,-200,+170
