Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
September 22, 2016 8:25 PM,at Patriots,-1.0,Texans,39.5,-105,-115
September 25, 2016 1:00 PM,at Giants,-3.5,Redskins,47.0,+160,-180
September 25, 2016 1:00 PM,at Dolphins,-10.0,Browns,42.0,+333,-450
September 25, 2016 1:00 PM,Raiders,-2.0,at Titans,47.0,-125,+105
September 25, 2016 1:00 PM,Cardinals,-4.5,at Bills,48.0,-215,+185
September 25, 2016 1:00 PM,at Panthers,-6.0,Vikings,43.0,+220,-270
September 25, 2016 1:00 PM,at Bengals,-3.5,Broncos,41.5,+155,-185
September 25, 2016 1:00 PM,at Packers,-6.0,Lions,47.5,+213,-275
September 25, 2016 1:00 PM,Ravens,-2.5,at Jaguars,45.0,-135,+115
September 25, 2016 4:05 PM,at Seahawks,-10.0,49ers,42.0,+375,-450
September 25, 2016 4:05 PM,at Buccaneers,-3.5,Rams,40.5,+159,-179
September 25, 2016 4:25 PM,Steelers,-4.0,at Eagles,46.5,-200,+170
September 25, 2016 4:25 PM,at Chiefs,-3.0,Jets,44.0,+135,-165
September 25, 2016 4:25 PM,at Colts,-1.5,Chargers,51.0,+105,-125
September 25, 2016 8:30 PM,at Cowboys,-6.5,Bears,45.0,+215,-265
September 26, 2016 8:30 PM,at Saints,-3.0,Falcons,54.0,+131,-151
