Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
October 6, 2016 8:25 PM,Cardinals,-3.5,at 49ers,42.5,-189,+170
October 9, 2016 1:00 PM,at Dolphins,-2.5,Titans,44.0,+120,-140
October 9, 2016 1:00 PM,at Vikings,-6.0,Texans,38.5,+220,-270
October 9, 2016 1:00 PM,at Steelers,-9.0,Jets,50.0,+300,-400
October 9, 2016 1:00 PM,at Ravens,-3.5,Redskins,44.0,+165,-200
October 9, 2016 1:00 PM,Patriots,-10.0,at Browns,48.0,-600,+400
October 9, 2016 1:00 PM,Eagles,-3.5,at Lions,46.0,-196,+160
October 9, 2016 1:00 PM,at Colts,-3.5,Bears,47.5,+160,-200
October 9, 2016 4:05 PM,at Broncos,-4.0,Falcons,44.5,+165,-200
October 9, 2016 4:25 PM,at Raiders,-3.5,Chargers,50.5,+163,-200
October 9, 2016 4:25 PM,Bills,-2.5,at Rams,41.5,-137,+115
October 9, 2016 4:25 PM,Bengals,-2.5,at Cowboys,45.5,-140,+120
October 9, 2016 8:30 PM,at Packers,-7.0,Giants,48.5,+255,-310
October 10, 2016 8:30 PM,at Panthers,-5.5,Buccaneers,46.5,+200,-250
