Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
October 27, 2016 8:25 PM,at Titans,-3.0,Jaguars,43.5,+130,-150
October 30, 2016 9:30 AM,at Bengals,-3.0,Redskins,49.0,+140,-160
October 30, 2016 1:00 PM,Jets,-2.5,at Browns,45.5,-140,+120
October 30, 2016 1:00 PM,Patriots,-5.5,at Bills,48.0,-238,+210
October 30, 2016 1:00 PM,at Panthers,-2.5,Cardinals,45.5,+115,-135
October 30, 2016 1:00 PM,at Texans,-2.0,Lions,46.5,+105,-125
October 30, 2016 1:00 PM,Chiefs,-3.0,at Colts,50.5,-143,+130
October 30, 2016 1:00 PM,Seahawks,-1.0,at Saints,50.0,-115,-105
October 30, 2016 1:00 PM,at Buccaneers,-0.0,Raiders,48.5,-110,-110
October 30, 2016 4:05 PM,at Broncos,-4.0,Chargers,43.0,+170,-200
October 30, 2016 4:25 PM,at Falcons,-3.0,Packers,51.0,+140,-160
October 30, 2016 8:30 PM,at Cowboys,-5.0,Eagles,44.0,+190,-230
October 31, 2016 8:30 PM,Vikings,-5.0,at Bears,39.5,-240,+190
