Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
December 8, 2016 8:25 PM,at Chiefs,-3.5,Raiders,46.0,+163,-200
December 11, 2016 1:00 PM,at Colts,-6.5,Texans,47.5,+220,-280
December 11, 2016 1:00 PM,Vikings,-3.0,at Jaguars,38.0,-188,+150
December 11, 2016 1:00 PM,Steelers,-2.0,at Bills,46.0,-125,+105
December 11, 2016 1:00 PM,at Panthers,-1.0,Chargers,48.5,+100,-120
December 11, 2016 1:00 PM,Bengals,-4.5,at Browns,41.5,-205,+175
December 11, 2016 1:00 PM,at Lions,-7.5,Bears,42.0,+280,-350
December 11, 2016 1:00 PM,Cardinals,-2.0,at Dolphins,44.0,-128,+108
December 11, 2016 1:00 PM,Redskins,-2.5,at Eagles,48.5,-133,+110
December 11, 2016 1:00 PM,at Titans,-2.0,Broncos,44.0,+110,-130
December 11, 2016 4:05 PM,at 49ers,-2.5,Jets,43.0,+135,-145
December 11, 2016 4:25 PM,at Buccaneers,-2.5,Saints,51.5,+115,-135
December 11, 2016 4:25 PM,Seahawks,-3.0,at Packers,46.0,-155,+135
December 11, 2016 4:25 PM,Falcons,-5.0,at Rams,44.0,-220,+190
December 11, 2016 8:30 PM,Cowboys,-3.5,at Giants,47.0,-185,+165
December 12, 2016 8:30 PM,at Patriots,-6.5,Ravens,45.0,+235,-275
