Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
November 10, 2016 8:25 PM,at Ravens,-7.5,Browns,44.0,+290,-350
November 13, 2016 1:00 PM,at Panthers,-3.0,Chiefs,44.0,+145,-155
November 13, 2016 1:00 PM,at Jaguars,-2.5,Texans,42.5,+130,-150
November 13, 2016 1:00 PM,at Saints,-3.0,Broncos,49.5,+135,-155
November 13, 2016 1:00 PM,Rams,-1.0,at Jets,39.0,-120,+100
November 13, 2016 1:00 PM,at Eagles,-1.0,Falcons,49.0,+106,-125
November 13, 2016 1:00 PM,Bears,-2.5,at Buccaneers,45.0,-140,+120
November 13, 2016 1:00 PM,Packers,-3.0,at Titans,48.5,-149,+135
November 13, 2016 1:00 PM,at Redskins,-2.5,Vikings,42.0,+125,-145
November 13, 2016 4:05 PM,at Chargers,-4.5,Dolphins,49.0,+180,-210
November 13, 2016 4:25 PM,at Steelers,-3.0,Cowboys,50.5,+140,-160
November 13, 2016 4:25 PM,at Cardinals,-13.5,49ers,46.5,+625,-900
November 13, 2016 8:30 PM,at Patriots,-7.5,Seahawks,49.5,+275,-350
November 14, 2016 8:30 PM,Bengals,-1.0,at Giants,49.0,-118,-105
