Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
October 22, 2015 8:25 PM,Seahawks,-6.0,at 49ers,42.0,-300,+225
October 25, 2015 9:30 AM,Bills,-4.0,at Jaguars,42.0,-200,+160
October 25, 2015 1:00 PM,at Chiefs,-3.0,Steelers,42.0,+150,-170
October 25, 2015 1:00 PM,Falcons,-6.0,at Titans,46.0,-250,+200
October 25, 2015 1:00 PM,at Redskins,-3.0,Buccaneers,42.0,+130,-150
October 25, 2015 1:00 PM,at Lions,-1.0,Vikings,44.0,+100,-120
October 25, 2015 1:00 PM,at Colts,-6.0,Saints,53.0,+210,-250
October 25, 2015 1:00 PM,at Rams,-6.0,Browns,44.0,+220,-260
October 25, 2015 1:00 PM,at Dolphins,-4.0,Texans,46.0,+180,-220
October 25, 2015 1:00 PM,at Patriots,-7.0,Jets,48.0,+270,-340
October 25, 2015 4:05 PM,at Chargers,-4.0,Raiders,48.0,+155,-175
October 25, 2015 4:25 PM,at Giants,-3.0,Cowboys,44.0,+140,-160
October 25, 2015 8:30 PM,at Panthers,-3.0,Eagles,46.0,+130,-150
October 26, 2015 8:30 PM,at Cardinals,-10.0,Ravens,50.0,+400,-500
