Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
November 19, 2015 8:25 PM,at Jaguars,-3.0,Titans,42.0,+125,-145
November 22, 2015 1:00 PM,Cowboys,-2.0,at Dolphins,46.0,-130,+110
November 22, 2015 1:00 PM,at Falcons,-4.0,Colts,48.0,+160,-200
November 22, 2015 1:00 PM,at Ravens,-3.0,Rams,41.0,+130,-150
November 22, 2015 1:00 PM,at Panthers,-7.0,Redskins,44.0,+245,-300
November 22, 2015 1:00 PM,Broncos,-2.0,at Bears,42.0,-133,+110
November 22, 2015 1:00 PM,Raiders,-1.0,at Lions,50.0,-120,+100
November 22, 2015 1:00 PM,Jets,-4.0,at Texans,40.0,-200,+170
November 22, 2015 1:00 PM,at Eagles,-6.0,Buccaneers,46.0,+225,-300
November 22, 2015 4:05 PM,Chiefs,-3.0,at Chargers,46.0,-170,+150
November 22, 2015 4:25 PM,at Vikings,-1.0,Packers,45.0,-110,-110
November 22, 2015 4:25 PM,at Seahawks,-14.0,49ers,40.0,+750,-1100
November 22, 2015 8:30 PM,at Cardinals,-4.0,Bengals,48.0,+185,-215
November 23, 2015 8:30 PM,at Patriots,-7.0,Bills,48.0,+290,-350
