Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
October 8, 2015 8:25 PM,at Texans,-5.0,Colts,40.0,+180,-220
October 11, 2015 1:00 PM,at Chiefs,-9.0,Bears,44.0,+360,-460
October 11, 2015 1:00 PM,at Packers,-9.0,Rams,45.0,+350,-450
October 11, 2015 1:00 PM,at Falcons,-7.0,Redskins,48.0,+260,-320
October 11, 2015 1:00 PM,at Ravens,-6.0,Browns,43.0,+220,-260
October 11, 2015 1:00 PM,at Bengals,-3.0,Seahawks,44.0,+150,-170
October 11, 2015 1:00 PM,at Eagles,-6.0,Saints,50.0,+220,-270
October 11, 2015 1:00 PM,at Buccaneers,-1.0,Jaguars,42.0,+105,-115
October 11, 2015 1:00 PM,Bills,-1.0,at Titans,43.0,-115,-105
October 11, 2015 4:05 PM,Cardinals,-4.0,at Lions,46.0,-220,+185
October 11, 2015 4:25 PM,Patriots,-8.0,at Cowboys,50.0,-380,+300
October 11, 2015 4:25 PM,Broncos,-4.0,at Raiders,44.0,-210,+180
October 11, 2015 8:30 PM,at Giants,-8.0,49ers,44.0,+280,-340
October 12, 2015 8:30 PM,at Chargers,-4.0,Steelers,46.0,+180,-210
