Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
September 24, 2015 8:25 PM,at Giants,-3.0,Redskins,45.0,+145,-165
September 27, 2015 1:00 PM,at Jets,-3.0,Eagles,47.0,+145,-165
September 27, 2015 1:00 PM,Colts,-3.0,at Titans,46.0,-175,+155
September 27, 2015 1:00 PM,at Ravens,-2.0,Bengals,46.0,+100,-125
September 27, 2015 1:00 PM,at Panthers,-10.0,Saints,43.0,+350,-450
September 27, 2015 1:00 PM,at Browns,-4.0,Raiders,44.0,+163,-183
September 27, 2015 1:00 PM,at Cowboys,-1.0,Falcons,43.0,-110,-110
September 27, 2015 1:00 PM,at Texans,-6.0,Buccaneers,41.0,+220,-260
September 27, 2015 1:00 PM,at Rams,-1.0,Steelers,48.0,+100,-120
September 27, 2015 1:00 PM,at Vikings,-2.0,Chargers,46.0,+105,-130
September 27, 2015 1:00 PM,at Patriots,-14.0,Jaguars,49.0,+750,-1250
September 27, 2015 4:05 PM,at Cardinals,-6.0,49ers,45.0,+250,-300
September 27, 2015 4:25 PM,at Seahawks,-16.0,Bears,44.0,+800,-1600
September 27, 2015 4:25 PM,at Dolphins,-2.0,Bills,44.0,+105,-125
September 27, 2015 8:30 PM,Broncos,-3.0,at Lions,44.0,-163,+130
September 28, 2015 8:30 PM,at Packers,-6.0,Chiefs,48.0,+210,-250
