Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
December 3, 2015 8:25 PM,Packers,-2.5,at Lions,46.5,N/A,N/A
December 6, 2015 1:00 PM,at Bills,-3.0,Texans,42.0,N/A,N/A
December 6, 2015 1:00 PM,at Bears,-6.5,49ers,43.0,N/A,N/A
December 6, 2015 1:00 PM,Bengals,-7.5,at Browns,44.5,N/A,N/A
December 6, 2015 1:00 PM,Cardinals,-3.5,at Rams,43.0,N/A,N/A
December 6, 2015 1:00 PM,at Dolphins,-3.5,Ravens,43.5,N/A,N/A
December 6, 2015 1:00 PM,Seahawks,-2.5,at Vikings,43.0,N/A,N/A
December 6, 2015 1:00 PM,Jets,-2.5,at Giants,46.5,N/A,N/A
December 6, 2015 1:00 PM,at Buccaneers,-1.0,Falcons,46.5,N/A,N/A
December 6, 2015 1:00 PM,at Titans,-3.0,Jaguars,43.5,N/A,N/A
December 6, 2015 4:05 PM,Chiefs,-3.0,at Raiders,45.5,N/A,N/A
December 6, 2015 4:05 PM,Broncos,-5.5,at Chargers,45.0,N/A,N/A
December 6, 2015 4:25 PM,at Patriots,-7.5,Eagles,49.0,N/A,N/A
December 6, 2015 4:25 PM,Panthers,-6.0,at Saints,50.5,N/A,N/A
December 6, 2015 8:30 PM,at Steelers,-10.0,Colts,50.5,N/A,N/A
December 7, 2015 8:30 PM,at Redskins,-2.0,Cowboys,43.0,N/A,N/A
