Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
October 29, 2015 8:25 PM,at Patriots,-8.0,Dolphins,51.0,+320,-400
November 1, 2015 9:30 AM,at Chiefs,-3.0,Lions,45.0,+140,-160
November 1, 2015 1:00 PM,at Rams,-8.0,49ers,41.0,+315,-400
November 1, 2015 1:00 PM,at Falcons,-8.0,Buccaneers,48.0,+333,-400
November 1, 2015 1:00 PM,at Ravens,-4.0,Chargers,50.0,+175,-210
November 1, 2015 1:00 PM,Vikings,-2.0,at Bears,44.0,-120,+110
November 1, 2015 1:00 PM,Cardinals,-7.0,at Browns,46.0,-320,+260
November 1, 2015 1:00 PM,at Saints,-3.0,Giants,52.0,+145,-170
November 1, 2015 1:00 PM,at Texans,-4.0,Titans,43.0,+155,-175
November 1, 2015 1:00 PM,at Steelers,-0.0,Bengals,49.0,-115,-105
November 1, 2015 4:05 PM,Jets,-3.0,at Raiders,44.0,-189,+155
November 1, 2015 4:25 PM,Seahawks,-5.0,at Cowboys,42.0,-222,+180
November 1, 2015 8:30 PM,Packers,-2.0,at Broncos,46.0,-140,+120
November 2, 2015 8:30 PM,at Panthers,-5.0,Colts,46.0,+195,-240
