Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
November 12, 2015 8:25 PM,at Jets,-2.0,Bills,42.0,+115,-135
November 15, 2015 1:00 PM,at Eagles,-6.0,Dolphins,50.0,+210,-250
November 15, 2015 1:00 PM,at Steelers,-7.0,Browns,43.0,+250,-300
November 15, 2015 1:00 PM,at Ravens,-5.0,Jaguars,47.0,+195,-250
November 15, 2015 1:00 PM,at Packers,-10.0,Lions,50.0,+440,-600
November 15, 2015 1:00 PM,at Rams,-7.0,Bears,42.0,+305,-335
November 15, 2015 1:00 PM,Cowboys,-1.0,at Buccaneers,44.0,-115,-105
November 15, 2015 1:00 PM,Panthers,-4.0,at Titans,42.0,-200,+170
November 15, 2015 1:00 PM,Saints,-2.0,at Redskins,52.0,-125,+105
November 15, 2015 4:05 PM,at Raiders,-3.0,Vikings,44.0,+150,-160
November 15, 2015 4:25 PM,Patriots,-7.0,at Giants,52.0,-325,+265
November 15, 2015 4:25 PM,at Broncos,-4.0,Chiefs,42.0,+170,-200
November 15, 2015 8:30 PM,at Seahawks,-3.0,Cardinals,44.0,+130,-150
November 16, 2015 8:30 PM,at Bengals,-10.0,Texans,46.0,+400,-500
