Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
November 5, 2015 8:25 PM,at Bengals,-13.0,Browns,46.0,+550,-850
November 8, 2015 1:00 PM,at Bills,-4.0,Dolphins,44.0,+167,-200
November 8, 2015 1:00 PM,Packers,-2.0,at Panthers,46.0,-130,+110
November 8, 2015 1:00 PM,at Vikings,-2.0,Rams,40.0,+105,-125
November 8, 2015 1:00 PM,at Patriots,-14.0,Redskins,52.0,+700,-1400
November 8, 2015 1:00 PM,at Saints,-6.0,Titans,50.0,+250,-300
November 8, 2015 1:00 PM,at Jets,-8.0,Jaguars,42.0,+300,-360
November 8, 2015 1:00 PM,at Steelers,-6.0,Raiders,48.0,+195,-250
November 8, 2015 4:05 PM,Falcons,-8.0,at 49ers,44.0,-350,+285
November 8, 2015 4:05 PM,Giants,-2.0,at Buccaneers,49.0,-125,+105
November 8, 2015 4:25 PM,Broncos,-4.0,at Colts,45.0,-195,+160
November 8, 2015 8:30 PM,Eagles,-3.0,at Cowboys,44.0,-170,+150
November 9, 2015 8:30 PM,at Chargers,-4.0,Bears,50.0,+160,-200
