Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
October 1, 2015 8:25 PM,Ravens,-3.0,at Steelers,44.0,-163,+130
October 4, 2015 9:30 AM,Jets,-2.0,at Dolphins,42.0,-140,+120
October 4, 2015 1:00 PM,at Colts,-4.0,Jaguars,43.0,+167,-200
October 4, 2015 1:00 PM,at Falcons,-4.0,Texans,48.0,+185,-225
October 4, 2015 1:00 PM,at Bills,-6.0,Giants,46.0,+210,-260
October 4, 2015 1:00 PM,Raiders,-3.0,at Bears,44.0,-165,+145
October 4, 2015 1:00 PM,at Bengals,-4.0,Chiefs,45.0,+155,-175
October 4, 2015 1:00 PM,Panthers,-3.0,at Buccaneers,40.0,-182,+145
October 4, 2015 1:00 PM,Eagles,-3.0,at Redskins,46.0,-161,+130
October 4, 2015 4:05 PM,at Chargers,-5.0,Browns,44.0,+205,-245
October 4, 2015 4:25 PM,at Broncos,-6.0,Vikings,43.0,+240,-300
October 4, 2015 4:25 PM,at Cardinals,-7.0,Rams,44.0,+275,-350
October 4, 2015 4:25 PM,Packers,-8.0,at 49ers,48.0,-345,+275
October 4, 2015 8:30 PM,at Saints,-3.0,Cowboys,49.0,+140,-155
October 5, 2015 8:30 PM,at Seahawks,-10.0,Lions,43.0,+375,-500
