Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
November 26, 2015 12:30 PM,at Lions,-3.0,Eagles,47.0,N/A,N/A
November 26, 2015 4:30 PM,Panthers,-1.0,at Cowboys,44.0,N/A,N/A
November 26, 2015 8:30 PM,at Packers,-8.0,Bears,45.0,N/A,N/A
November 29, 2015 1:00 PM,at Texans,-4.0,Saints,51.0,N/A,N/A
November 29, 2015 1:00 PM,at Colts,-3.0,Buccaneers,46.0,N/A,N/A
November 29, 2015 1:00 PM,at Jaguars,-5.0,Chargers,47.0,N/A,N/A
November 29, 2015 1:00 PM,at Chiefs,-4.0,Bills,41.0,N/A,N/A
November 29, 2015 1:00 PM,at Jets,-4.0,Dolphins,44.0,N/A,N/A
November 29, 2015 1:00 PM,at Falcons,-2.0,Vikings,45.0,N/A,N/A
November 29, 2015 1:00 PM,at Bengals,-10.0,Rams,42.0,N/A,N/A
November 29, 2015 1:00 PM,Raiders,-1.0,at Titans,45.0,N/A,N/A
November 29, 2015 1:00 PM,Giants,-1.0,at Redskins,48.0,N/A,N/A
November 29, 2015 4:05 PM,Cardinals,-8.0,at 49ers,45.0,N/A,N/A
November 29, 2015 4:25 PM,at Seahawks,-3.0,Steelers,46.0,N/A,N/A
November 29, 2015 8:30 PM,Patriots,-2.0,at Broncos,43.0,N/A,N/A
November 30, 2015 8:30 PM,at Browns,-6.0,Ravens,41.0,N/A,N/A
