Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
September 17, 2015 8:25 PM,at Chiefs,-3.0,Broncos,42.0,+150,-170
September 20, 2015 1:00 PM,at Vikings,-2.0,Lions,44.0,+125,-145
September 20, 2015 1:00 PM,at Saints,-10.0,Buccaneers,47.0,+350,-450
September 20, 2015 1:00 PM,at Giants,-2.0,Falcons,50.0,+110,-130
September 20, 2015 1:00 PM,at Bills,-2.0,Patriots,45.0,-101,-119
September 20, 2015 1:00 PM,at Panthers,-3.0,Texans,41.0,+135,-155
September 20, 2015 1:00 PM,Cardinals,-2.0,at Bears,46.0,-125,+105
September 20, 2015 1:00 PM,at Bengals,-4.0,Chargers,48.0,+145,-175
September 20, 2015 1:00 PM,Titans,-1.0,at Browns,41.0,-120,+100
September 20, 2015 1:00 PM,at Steelers,-6.0,49ers,46.0,+200,-240
September 20, 2015 1:00 PM,Rams,-3.0,at Redskins,41.0,-175,+155
September 20, 2015 4:05 PM,Dolphins,-6.0,at Jaguars,42.0,-250,+210
September 20, 2015 4:05 PM,Ravens,-6.0,at Raiders,42.0,-220,+190
September 20, 2015 4:25 PM,at Eagles,-6.0,Cowboys,54.0,+250,-300
September 20, 2015 8:30 PM,at Packers,-4.0,Seahawks,49.0,+145,-175
September 21, 2015 8:30 PM,at Colts,-6.0,Jets,46.0,+220,-270
