Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
September 10, 2015 8:30 PM,at Patriots,-7.0,Steelers,51.0,+270,-340
September 13, 2015 1:00 PM,at Jets,-4.0,Browns,40.0,+170,-190
September 13, 2015 1:00 PM,Dolphins,-4.0,at Redskins,46.0,-210,+175
September 13, 2015 1:00 PM,Colts,-1.0,at Bills,44.0,-115,-105
September 13, 2015 1:00 PM,Packers,-6.0,at Bears,48.0,-286,+230
September 13, 2015 1:00 PM,Chiefs,-1.0,at Texans,40.0,-115,-105
September 13, 2015 1:00 PM,Panthers,-3.0,at Jaguars,41.0,-150,+130
September 13, 2015 1:00 PM,Seahawks,-4.0,at Rams,42.0,-185,+160
September 13, 2015 4:05 PM,at Chargers,-4.0,Lions,46.0,+160,-180
September 13, 2015 4:05 PM,at Cardinals,-2.0,Saints,49.0,+120,-140
September 13, 2015 4:25 PM,at Broncos,-4.0,Ravens,46.0,+180,-220
September 13, 2015 4:25 PM,at Buccaneers,-3.0,Titans,40.0,+130,-150
September 13, 2015 4:25 PM,Bengals,-3.0,at Raiders,43.0,-154,+130
September 13, 2015 8:30 PM,at Cowboys,-7.0,Giants,52.0,+240,-300
September 14, 2015 7:10 PM,Eagles,-3.0,at Falcons,55.0,-188,+150
September 14, 2015 10:20 PM,Vikings,-2.0,at 49ers,42.0,-142,+120
