Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
October 15, 2015 8:25 PM,Falcons,-3.0,at Saints,52.0,-155,+135
October 18, 2015 1:00 PM,at Jets,-8.0,Redskins,40.0,+295,-360
October 18, 2015 1:00 PM,at Jaguars,-2.0,Texans,43.0,+125,-145
October 18, 2015 1:00 PM,at Vikings,-4.0,Chiefs,43.0,+160,-185
October 18, 2015 1:00 PM,Bengals,-3.0,at Bills,42.0,-164,+144
October 18, 2015 1:00 PM,Broncos,-3.0,at Browns,42.0,-185,+155
October 18, 2015 1:00 PM,at Lions,-4.0,Bears,46.0,+168,-200
October 18, 2015 1:00 PM,Cardinals,-6.0,at Steelers,46.0,-230,+205
October 18, 2015 1:00 PM,at Titans,-2.0,Dolphins,44.0,+115,-135
October 18, 2015 4:05 PM,at Seahawks,-7.0,Panthers,41.0,+260,-320
October 18, 2015 4:25 PM,Ravens,-2.0,at 49ers,44.0,-140,+120
October 18, 2015 4:25 PM,at Packers,-10.0,Chargers,50.0,+400,-500
October 18, 2015 8:30 PM,Patriots,-10.0,at Colts,54.0,-450,+350
October 19, 2015 8:30 PM,at Eagles,-4.0,Giants,50.0,+170,-200
